ThickTR[Min:0.2 Max:0.6 Step:0.133333333333]
ThickTL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBR[Min:0.2 Max:0.6 Step:0.133333333333]
Fillet[Min:0.5 Max:2.5 Step:0.666666666667]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Material:	ThickTR:	ThickTL:	ThickBL:	ThickBR:	Fillet:	K_xy:	K_y:	K_theta:	mass:
Aluminum 2219	0.200	0.600	0.400	0.400	1.500	957524736.000	976934592.000	96047185920.000	433852.532
Aluminum 2219	0.200	0.600	0.400	0.400	2.500	1028897536.000	1051346304.000	103120134144.000	440273.419
Aluminum 2219	0.200	0.600	0.400	0.600	0.500	1068337600.000	1089511168.000	107228061696.000	435684.764
Aluminum 2219	0.200	0.600	0.400	0.600	1.500	1110939264.000	1134287872.000	111528574976.000	438895.207
Aluminum 2219	0.200	0.600	0.400	0.600	2.500	1174460544.000	1201928064.000	118013599744.000	445316.094
Aluminum 2219	0.200	0.600	0.600	0.200	0.500	760194496.000	774873344.000	76401016832.000	430679.548
Aluminum 2219	0.200	0.600	0.600	0.200	1.500	769388096.000	787137792.000	77433159680.000	433889.991
Aluminum 2219	0.200	0.600	0.600	0.200	2.500	814888512.000	835053056.000	81996234752.000	440310.878
Aluminum 2219	0.200	0.600	0.600	0.400	0.500	965538240.000	987211840.000	96971792384.000	435647.364
Aluminum 2219	0.200	0.600	0.600	0.400	1.500	1003495744.000	1028843648.000	100886085632.000	438857.807
Aluminum 2219	0.200	0.600	0.600	0.400	2.500	1077792384.000	1107009408.000	108377817088.000	445278.694
Aluminum 2219	0.200	0.600	0.600	0.600	0.500	1109596800.000	1134370944.000	111463530496.000	440671.339
Aluminum 2219	0.200	0.600	0.600	0.600	1.500	1154572672.000	1183478528.000	116029849600.000	443881.782
Aluminum 2219	0.200	0.600	0.600	0.600	2.500	1202232704.000	1235832320.000	121010257920.000	450302.669
Aluminum 2219	0.400	0.200	0.200	0.200	0.500	591713856.000	599334720.000	59362357248.000	415594.922
Aluminum 2219	0.400	0.200	0.200	0.200	1.500	608735040.000	617415680.000	61009215488.000	418805.365
Aluminum 2219	0.400	0.200	0.200	0.200	2.500	661411904.000	671107520.000	66305261568.000	425226.252
Aluminum 2219	0.400	0.200	0.200	0.400	0.500	650793408.000	659211008.000	65201205248.000	420581.438
Aluminum 2219	0.400	0.200	0.200	0.400	1.500	676556288.000	686864832.000	67779866624.000	423791.881
Aluminum 2219	0.400	0.200	0.200	0.400	2.500	754035136.000	767080192.000	75567980544.000	430212.768
Aluminum 2219	0.400	0.200	0.200	0.600	0.500	685908288.000	694679936.000	68710543360.000	425624.113
Aluminum 2219	0.400	0.200	0.200	0.600	1.500	736308992.000	748465152.000	73823117312.000	428834.556
Aluminum 2219	0.400	0.200	0.200	0.600	2.500	787317056.000	800991488.000	79039561728.000	435255.443
Aluminum 2219	0.400	0.200	0.400	0.200	0.500	746544640.000	755476288.000	74817101824.000	420600.138
Aluminum 2219	0.400	0.200	0.400	0.200	1.500	776093696.000	787354624.000	77775364096.000	423810.581
Aluminum 2219	0.400	0.200	0.400	0.200	2.500	840500928.000	854334592.000	84258816000.000	430231.468
Aluminum 2219	0.400	0.200	0.400	0.400	0.500	803552128.000	814712000.000	80465575936.000	425567.953
Aluminum 2219	0.400	0.200	0.400	0.400	1.500	831419840.000	844769088.000	83271172096.000	428778.397
Aluminum 2219	0.400	0.200	0.400	0.400	2.500	930844928.000	948992000.000	93339418624.000	435199.284
Aluminum 2219	0.400	0.200	0.400	0.600	0.500	862462912.000	875021440.000	86394511360.000	430591.928
Aluminum 2219	0.400	0.200	0.400	0.600	1.500	891070720.000	906926208.000	89305923584.000	433802.372
Aluminum 2219	0.400	0.200	0.400	0.600	2.500	952723008.000	971142144.000	95573893120.000	440223.259
Aluminum 2219	0.400	0.200	0.600	0.200	0.500	809174208.000	818765760.000	81072971776.000	425661.513
Aluminum 2219	0.400	0.200	0.600	0.200	1.500	869041344.000	882599040.000	87142350848.000	428871.956
Aluminum 2219	0.400	0.200	0.600	0.200	2.500	933778048.000	949210432.000	93738926080.000	435292.843
Aluminum 2219	0.400	0.200	0.600	0.400	0.500	889326592.000	901727424.000	89043656704.000	430610.628
Aluminum 2219	0.400	0.200	0.600	0.400	1.500	918739008.000	933659840.000	92043714560.000	433821.072
Aluminum 2219	0.400	0.200	0.600	0.400	2.500	1028382912.000	1047892224.000	103138951168.000	440241.959
